,title,label,prediction
0,Technocracy: The Real Reason Why The UN Wants Control Over The Internet,0.0,0.0
1,How Bad Is Your Air-Conditioner for the Planet? - The New York Times,1.0,1.0
2,Iran Deal Tests Trump’s Independence,0.0,0.0
3,Is the US Headed Towards War in Syria?,0.0,0.0
4,Hillary To Be Arrested?,0.0,0.0
5,Cholera Deepens Haiti’s Misery After Hurricane - The New York Times,1.0,1.0
6,Area Dad Informs Busboy He’s Ready To Order - The Onion - America's Finest News Source,0.0,0.0
7,Al Franken Pushes for Kushner Security Clearance Review - Breitbart,1.0,1.0
8,"On a Somber Sunday, ‘One Nation Under God Examines Its Soul’ - The New York Times",1.0,1.0
9,"One Star Over, a Planet That Might Be Another Earth - The New York Times",1.0,1.0
10,Pittsburgh City Council ponders shutting down speech of its own members,0.0,0.0
11,"Donald Trump, Michael Phelps, Zika: Your Tuesday Evening Briefing - The New York Times",1.0,1.0
12,Black Lives Matter Was Gaining Ground. Then a Sniper Opened Fire. - The New York Times,1.0,1.0
13,"Meet the New Monopoly Tokens: A Rubber Ducky, a T-rex and a Penguin - The New York Times",1.0,1.0
14,Paintings 'almost no one else seemed to be doing',0.0,0.0
15,"Obama Furious After Fed-Up ‘Deplorables’ Drop 41,000-Piece Gift On Him",0.0,0.0
16,Little Known Treasury Committee Gives Us a Look At Market’s Most Powerful Players,0.0,0.0
17,,0.0,0.0
18,L.A. Marks 25 Years Since Rodney King Riots - Breitbart,1.0,1.0
19,"Donald Trump Executive Actions Kill TPP, Announce Federal Hiring Freeze, Restore Mexico City Policy - Breitbart",1.0,1.0
20,GOOGLE head Eric Schmidt's secret strategic plan for election...,0.0,0.0
21,Welcome to the ‘Islamic State of Germany’,0.0,0.0
22,Calif. Proposition Requires Permit to Buy Bullets,0.0,0.0
23,CNN’s Jim Acosta Accused of Spreading Fake News About Trump’s Hospital Visit With Congressman Scalise,1.0,0.0
24,Senate Democrats Block Zika Bill Over Planned Parenthood Provisions - The New York Times,1.0,1.0
25,CDC SPIDER is the biggest medical whistleblower event in history,0.0,0.0
26,,0.0,0.0
27,"Meet The Hitler Of Congo, Who Unleashed New Horrors On The African Continent",0.0,0.0
28,London Gets More N.F.L. Games. Too Bad About the Teams. - The New York Times,1.0,1.0
29,"The Results Are In: This Is the Best Sex Toy for Women, Ever : Conscious Life News",0.0,0.0
30,CoverGirl's New Face: A 17-Year-Old Male,0.0,0.0
31,Woman Thrown in Front of Train at Times Square Subway Station Is Killed - The New York Times,1.0,0.0
32,American Drivers Regain Appetite for Gas Guzzlers - The New York Times,1.0,1.0
33,What is Comey up to and who is he working for?,0.0,0.0
34,N.J. Transit Changes Rules for Trains Arriving at Hoboken Station - The New York Times,1.0,1.0
35,"London Terror: One Dead, One Arrested as Man Ploughs Van into Pedestrians Outside London Mosque",1.0,0.0
36,Gohmert: Congress Recessing Day After Comey Testified Left President Trump ‘To Dangle’,1.0,0.0
37,"США: реформироваться или распадаться?, Тьерри Мейсан",0.0,0.0
38,FBI reopens Hillary investigation – with evidence from Anthony Weiner sexting scandal,0.0,0.0
39,Worried About the Privacy of Your Messages? Download Signal - The New York Times,1.0,1.0
40,If I had a jackhammer...,0.0,0.0
41,"Trump Aides Try to Reassure Europe, but Many Are Wary - The New York Times",1.0,1.0
42,Simon and Schuster Children’s Authors Publish Letter Protesting MILO - Breitbart,1.0,0.0
43,Humiliated Hillary is SWARMED by Trump Supporters at a Florida Early Voting Location – TruthFeed,0.0,0.0
44,Solving the Debt Crisis,0.0,0.0
45,Will China Trigger the Next Global Recession?,0.0,0.0
46,Report on the use of chemical weapons by the “moderate terrorists” in Syria | The Vineyard of the Saker,0.0,0.0
47,Trump says he’d be ‘neutral’ with Israelis and Palestinians,0.0,0.0
48,For Those Who Are Worried About The Plunge In The Gold & Silver Markets…,0.0,0.0
49,Tiny Home Test Drive - The New York Times,1.0,1.0
50,"CA High-Speed Rail: Over Budget, Behind Schedule - Breitbart",1.0,0.0
51,"UK Security Agencies Unlawfully Collected Data For 17 Years, Court Rules",0.0,0.0
52,Comment on Black Racism by martin wright,0.0,0.0
53,This Cilantro Recipe Can Remove 80% Of Heavy Metals From Your Body In Just 42 Days,0.0,0.0
54,Адская Клинтон,0.0,0.0
55,"EPA Administrator Scott Pruitt at CPAC: After 8 Years We’ll Have Better Air, Better Water - Breitbart",1.0,0.0
56,Megyn Kelly Finally Reveals The Details Of Ailes’ Sexual Harrassment,0.0,0.0
57,"FBI Assistant Director Goes Rogue, Stabs Hillary in the Back on National TV",0.0,0.0
58,Afghanistan Orders Arrest of Vice President’s Guards in Rape and Torture Case - The New York Times,1.0,1.0
59,Moving Your Computer Off Grid,0.0,0.0
60,Russian families with children in Europe have no way back to Russia,0.0,0.0
61,School named for Munich-massacre mastermind,0.0,0.0
62,Fukushima Cover Up,0.0,0.0
63,Pacific Islanders may have DNA of unknown human species,0.0,0.0
64,Rick Rule – A Look At 2017 And What Sprott Asset Management Is Doing With Our Clients’ Money Right Now,0.0,0.0
65,Toxic chemicals found in children’s Halloween makeup – study,0.0,0.0
66,"Joyous Africans Take to the Rails, With China’s Help - The New York Times",1.0,1.0
67,,0.0,0.0
68,"Hillary Clinton Builds $150 Million War Chest, Doubling Donald Trump - The New York Times",1.0,1.0
69,5 Things You Need to Know About 'Sanctuary Cities' | Daily Wire,0.0,0.0
70,What Does Washington ‘Plan B’ in Syria Really Mean? | The Vineyard of the Saker,0.0,0.0
71,Seeing ‘Nothing to Live For’ as Haiti Seeks a Body Count After Hurricane Matthew - The New York Times,1.0,1.0
72,Full Transcript and Video: Trump News Conference - The New York Times,1.0,1.0
73,London couple who ‘don’t need a car’ want a lift,0.0,0.0
74,CLINTON CAMPAIGN COOPERATED WITH POLITICO ON ‘DEMYSTIFYING’ HUMA ABEDIN,0.0,0.0
75,November 21: Daily Contrarian Reads,0.0,0.0
76,Army Approves Construction of Dakota Access Pipeline - The New York Times,1.0,1.0
77,Why do parents refuse to vaccinate their children?,0.0,0.0
78,The strange case of the Scottish ambulance found among the rubble of eastern Aleppo,0.0,0.0
79,"Putin and Trump on the phone. In view: better relations, progress in Syria",0.0,0.0
80,Judge Jeanine: Shutting Down Free Speech on College Campuses Pushing U.S. Toward Fascism - Breitbart,1.0,1.0
81,Woman Arrested On Own Property After Her Land Was Stolen By DAPL,0.0,0.0
82,Comment on Europe’s Forgotten ‘Hitler’ Killed Over 10 Million Africans — But the West Erased it From History by chris VN,0.0,1.0
83,"Babies of obese mothers at high risk of brain damage, stroke, heart attack and asthma",0.0,0.0
84,"In a Stand-Up Act, Leslie Jones Finds the Humor in Being Hacked - The New York Times",1.0,1.0
85,Glorifying Violence,0.0,0.0
86,Rand Paul: Another Senator Was Surveilled by the Obama Administration - Breitbart,1.0,1.0
87,Reuters: Homeland Security Employees Locked Out of Computer Networks - Breitbart,1.0,1.0
88,HOW PUSSY RIOT ROBBED ME TO PROMOTE HILLARY CLINTON THIS ELECTION,0.0,0.0
89,ISIS in Egypt Beheads 100-year-old Sufi Cleric for Practicing Witchcraft,0.0,0.0
90,Measles Outbreak Continues to Spread in Minnesota: 44 Cases Confirmed - Breitbart,1.0,1.0
91,Hillary Clinton Struggles to Find Footing in Unusual Race - The New York Times,1.0,1.0
92,"Researchers Detect Strange Messages from the Stars, Says it Might be Aliens",0.0,0.0
93,"Amid Protests Over Police Shootings of Black Men, Latinos Note a Disparity - The New York Times",1.0,1.0
94,,0.0,0.0
95,Study: Millennials Delaying Entry into Adulthood,1.0,0.0
96,Steve Pieczenik: Wikileaks Revelations A Counter Coup To America’s Takeover (VIDEO),0.0,0.0
97,Penn Station Inhabitant Finally Has a Home of Her Own - The New York Times,1.0,1.0
98,Limbaugh: The First Amendment Doesn’t Give the Press ‘Immunity from Criticism’ - Breitbart,1.0,1.0
99,Sweden on the brink? Police force pushed to breaking point by violence amid migrant influx,0.0,0.0
100,Moringa – This Herb Kills Cancer And Stops Diabetes,0.0,0.0
101,Links 11/7/2016,0.0,0.0
102,Interesting & Fun Facts About Stethoscope,0.0,0.0
103,Early Voting Is So Strong For Democrats That Clinton Could Lock Up Nevada this Week,0.0,0.0
104,Nation Still Struggling To Come To Terms With Terrorist Living In Ireland,0.0,0.0
105,The Clinton Email Investigation Has Shifted The Poll Numbers Significantly In Trump’s Favor,0.0,0.0
106,Trump Promises White House Will No Longer Obscure Iraq and Syria Troop Deployments,1.0,1.0
107,Google and Facebook Take Aim at Fake News Sites - The New York Times,1.0,1.0
108,Christian Pastor Jailed by Iran Reveals STUNNING Truth About Trump,0.0,1.0
109,America's shrimp imports being injected with dangerous chemicals - just to add weight,0.0,0.0
110,‘Sting concert not on a par with shootings’. More soon.,0.0,0.0
111,Kansas City Man Freed After 17 Years in Prison When His Doppelganger Is Found,1.0,1.0
