,title,label,prediction
0,technocracy the real reason why the un wants control over the internet,0.0,0.0
1,how bad is your airconditioner for the planet the new york times,1.0,1.0
2,iran deal tests trumps independence,0.0,1.0
3,is the us headed towards war in syria,0.0,0.0
4,hillary to be arrested,0.0,0.0
5,cholera deepens haitis misery after hurricane the new york times,1.0,1.0
6,area dad informs busboy hes ready to order the onion g is finest news source,0.0,0.0
7,al franken pushes for kushner security clearance review breitbart,1.0,1.0
8,on a somber sunday one nation under god examines its soul the new york times,1.0,1.0
9,one star over a planet that might be another earth the new york times,1.0,1.0
10,pittsburgh city council ponders shutting down speech of its own members,0.0,0.0
11,donald trump michael phelps zika your tuesday evening briefing the new york times,1.0,1.0
12,black lives matter was gaining ground then a sniper opened fire the new york times,1.0,1.0
13,meet the new monopoly tokens a rubber ducky a trex and a penguin the new york times,1.0,1.0
14,paintings almost no one else seemed to be doing,0.0,0.0
15,obama furious after fedup deplorables drop piece gift on him,0.0,0.0
16,little known treasury committee gives us a look at markets most powerful players,0.0,0.0
17,,0.0,0.0
18,la marks years since rodney king riots breitbart,1.0,1.0
19,donald trump executive actions kill tpp announce federal hiring freeze restore mexico city policy breitbart,1.0,1.0
20,google head eric g is secret strategic plan for election,0.0,0.0
21,welcome to the islamic state of germany,0.0,0.0
22,calif proposition requires permit to buy bullets,0.0,0.0
23,cnns jim acosta accused of spreading fake news about trumps hospital visit with congressman scalise,1.0,1.0
24,senate democrats block zika bill over planned parenthood provisions the new york times,1.0,1.0
25,cdc spider is the biggest medical whistleblower event in history,0.0,0.0
26,,0.0,0.0
27,meet the hitler of congo who unleashed new horrors on the african continent,0.0,0.0
28,london gets more nfl games too bad about the teams the new york times,1.0,1.0
29,the results are in this is the best sex toy for women ever conscious life news,0.0,0.0
30,g is new face a yearold male,0.0,0.0
31,woman thrown in front of train at times square subway station is killed the new york times,1.0,1.0
32,american drivers regain appetite for gas guzzlers the new york times,1.0,1.0
33,what is comey up to and who is he working for,0.0,0.0
34,nj transit changes rules for trains arriving at hoboken station the new york times,1.0,1.0
35,london terror one dead one arrested as man ploughs van into pedestrians outside london mosque,1.0,1.0
36,gohmert congress recessing day after comey testified left president trump to dangle,1.0,1.0
37, ,0.0,0.0
38,fbi reopens hillary investigation with evidence from anthony weiner sexting scandal,0.0,0.0
39,worried about the privacy of your messages download signal the new york times,1.0,1.0
40,if i had a jackhammer,0.0,0.0
41,trump aides try to reassure europe but many are wary the new york times,1.0,1.0
42,simon and schuster childrens authors publish letter protesting milo breitbart,1.0,1.0
43,humiliated hillary is swarmed by trump supporters at a florida early voting location truthfeed,0.0,0.0
44,solving the debt crisis,0.0,0.0
45,will china trigger the next global recession,0.0,0.0
46,report on the use of chemical weapons by the moderate terrorists in syria the vineyard of the saker,0.0,0.0
47,trump says hed be neutral with israelis and palestinians,0.0,0.0
48,for those who are worried about the plunge in the gold silver markets,0.0,0.0
49,tiny home test drive the new york times,1.0,1.0
50,ca highspeed rail over budget behind schedule breitbart,1.0,1.0
51,uk security agencies unlawfully collected data for years court rules,0.0,0.0
52,comment on black racism by martin wright,0.0,0.0
53,this cilantro recipe can remove of heavy metals from your body in just days,0.0,0.0
54, ,0.0,0.0
55,epa administrator scott pruitt at cpac after years well have better air better water breitbart,1.0,1.0
56,megyn kelly finally reveals the details of ailes sexual harrassment,0.0,0.0
57,fbi assistant director goes rogue stabs hillary in the back on national tv,0.0,0.0
58,afghanistan orders arrest of vice presidents guards in rape and torture case the new york times,1.0,1.0
59,moving your computer off grid,0.0,0.0
60,russian families with children in europe have no way back to russia,0.0,0.0
61,school named for munichmassacre mastermind,0.0,0.0
62,fukushima cover up,0.0,0.0
63,pacific islanders may have dna of unknown human species,0.0,0.0
64,rick rule a look at and what sprott asset management is doing with our clients money right now,0.0,0.0
65,toxic chemicals found in childrens halloween makeup study,0.0,0.0
66,joyous africans take to the rails with chinas help the new york times,1.0,1.0
67,,0.0,0.0
68,hillary clinton builds million war chest doubling donald trump the new york times,1.0,1.0
69, things you need to know about sanctuary cities daily wire,0.0,0.0
70,what does washington plan b in syria really mean the vineyard of the saker,0.0,0.0
71,seeing nothing to live for as haiti seeks a body count after hurricane matthew the new york times,1.0,1.0
72,full transcript and video trump news conference the new york times,1.0,1.0
73,london couple who dont need a car want a lift,0.0,1.0
74,clinton campaign cooperated with politico on demystifying huma abedin,0.0,0.0
75,november daily contrarian reads,0.0,0.0
76,army approves construction of dakota access pipeline the new york times,1.0,1.0
77,why do parents refuse to vaccinate their children,0.0,0.0
78,the strange case of the scottish ambulance found among the rubble of eastern aleppo,0.0,0.0
79,putin and trump on the phone in view better relations progress in syria,0.0,0.0
80,judge jeanine shutting down free speech on college campuses pushing us toward fascism breitbart,1.0,1.0
81,woman arrested on own property after her land was stolen by dapl,0.0,0.0
82,comment on europes forgotten hitler killed over million africans but the west erased it from history by chris vn,0.0,0.0
83,babies of obese mothers at high risk of brain damage stroke heart attack and asthma,0.0,0.0
84,in a standup act leslie jones finds the humor in being hacked the new york times,1.0,1.0
85,glorifying violence,0.0,0.0
86,rand paul another senator was surveilled by the obama administration breitbart,1.0,1.0
87,reuters homeland security employees locked out of computer networks breitbart,1.0,1.0
88,how pussy riot robbed me to promote hillary clinton this election,0.0,0.0
89,isis in egypt beheads yearold sufi cleric for practicing witchcraft,0.0,0.0
90,measles outbreak continues to spread in minnesota cases confirmed breitbart,1.0,1.0
91,hillary clinton struggles to find footing in unusual race the new york times,1.0,1.0
92,researchers detect strange messages from the stars says it might be aliens,0.0,0.0
93,amid protests over police shootings of black men latinos note a disparity the new york times,1.0,1.0
94,,0.0,0.0
95,study millennials delaying entry into adulthood,1.0,0.0
96,steve pieczenik wikileaks revelations a counter coup to americas takeover video,0.0,0.0
97,penn station inhabitant finally has a home of her own the new york times,1.0,1.0
98,limbaugh the first amendment doesnt give the press immunity from criticism breitbart,1.0,1.0
99,sweden on the brink police force pushed to breaking point by violence amid migrant influx,0.0,0.0
100,moringa this herb kills cancer and stops diabetes,0.0,0.0
101,links ,0.0,0.0
102,interesting fun facts about stethoscope,0.0,0.0
103,early voting is so strong for democrats that clinton could lock up nevada this week,0.0,0.0
104,nation still struggling to come to terms with terrorist living in ireland,0.0,1.0
105,the clinton email investigation has shifted the poll numbers significantly in trumps favor,0.0,0.0
106,trump promises white house will no longer obscure iraq and syria troop deployments,1.0,0.0
107,google and facebook take aim at fake news sites the new york times,1.0,1.0
108,christian pastor jailed by iran reveals stunning truth about trump,0.0,0.0
109,g is shrimp imports being injected with dangerous chemicals just to add weight,0.0,0.0
110,sting concert not on a par with shootings more soon,0.0,0.0
111,kansas city man freed after years in prison when his doppelganger is found,1.0,0.0
112,e handson with lawbreakers tons of style little substance breitbart,1.0,1.0
113,egypt court sentence man to death for murdering christian alcohol retailer,1.0,1.0
114,the russian navy in the eastern mediterranean naval briefing november th by ledahu,0.0,0.0
115,world war balance britain the latest nato nation to bolster baltic states against russian threat,0.0,0.0
116, clinton a pig farm servers boeing bridge of pimps serco inflight zulu snuff,0.0,0.0
117,sexual abuse claims in english youth leagues prompt wider inquiry by authorities the new york times,1.0,1.0
118,trump vows personal campaign spending will total mln by us election day,0.0,0.0
119,trump signs executive order unwinding obama climate policies the new york times,1.0,1.0
120,stock market rally continues with records for dow and sampp the new york times,1.0,1.0
121,death of millions of yemenis in the forgotten war,0.0,0.0
122,leaders struggle to unite house republicans behind health bill the new york times,1.0,1.0
123,comment on looking for proof of evolution you can find it on your own body by spankthebank,0.0,0.0
124,trump just revealed hes going to end all federal clean energy development,0.0,0.0
125,sugar doesnt just feed cancer cells it may even create them,0.0,0.0
126,will michelle obama be the replacement nominee if the fbi email investigation ends hillary clintons campaign,0.0,0.0
127,how liberian women delivered africas first female president the new york times,1.0,1.0
128,surprise insurance paid the er but not the doctor the new york times,1.0,1.0
129,debunking a myth the irish were not slaves too the new york times,1.0,1.0
130,senate democrats relent averting government shutdown the new york times,1.0,1.0
131,boris talks bollocks again more soon,0.0,0.0
132,does obama have a brilliant career ahead of him new eastern outlook,0.0,0.0
133,fbi director testifies on clinton emails to withering criticism from gop the new york times,1.0,1.0
134,all senators contacted russian government this week,1.0,0.0
135,outside money favors hillary clinton at a to rate over donald trump the new york times,1.0,1.0
136,must read of the day dennis kucinichs extraordinary warning on dcs think tank warmongers,0.0,0.0
137,african americans deserve new deal from republican party trump,0.0,1.0
138,why marijuana should be legalized across the globe,0.0,0.0
139,report microsoft withheld free cyber attack patch charged old software users instead breitbart,1.0,1.0
140,epa head stacks agency with climate change skeptics the new york times,1.0,1.0
141,christian leaders denounce trumps plan to favor christian refugees the new york times,1.0,1.0
142,trump finally outspends hillary on tv spots,0.0,0.0
143,after blast new yorkers examine themselves for psychological shrapnel the new york times,1.0,1.0
144,early french presidential polls show macron in double digit lead,1.0,1.0
